Model,Cosine_Similarity,Length_Ratio,Runtime_sec,Overall_Score
M2M-100 (HI→EN),0.846,1.056,1.19,0.8541008403361344
MarianMT (HI→EN),0.584,1.0,0.229,1.7604436681222706
